player_name,team,conf,GP,Min_per,Ortg,usg,eFG,TS_per,ORB_per,DRB_per,AST_per,TO_per,FTM,FTA,FT_per,twoPM,twoPA,twoP_per,TPM,TPA,TP_per,blk_per,stl_per,ftr,porpag,adjoe,pfr,year,pid,Rec Rank,ast/tov,rimmade,rimmade+rimmiss,midmade,midmade+midmiss,rimmade/(rimmade+rimmiss),midmade/(midmade+midmiss),dunksmade,dunksmiss+dunksmade,drtg,adrtg,dporpag,stops,bpm,obpm,dbpm,gbpm,mp,ogbpm,dgbpm,oreb,dreb,treb,ast,stl,blk,pts,role,draft_status,yr_num,ht_inches,Playmaker_Usg,Scoring_Gravity,AST_to_USG,Elite_Recruit,Freshman_Star
Jamel Ferguson,Manhattan,MAAC,21,21.8,86.4,19.1,39.4,39.88,5.0,11.4,17.9,16.6,12,30,0.4,19,46,0.413,6,25,0.24,3.1,2.3,42.3,0.0726923,85.9525,4.9,2009,46,999.0,1.49992499,13.045721393034826,25.205479452054792,5.954278606965174,20.794520547945208,0.5175748161367079,0.28633882629015656,0.0,0.0,96.5705,98.736,1.18733,47.7475,-1.00077,-2.06257,1.0618,0.157839,12.4286,-1.45707,1.61491,0.5714,1.1905,1.7619,1.0,0.4762,0.3333,3.2381,Unknown,0,3.0,76.0,341.89,136.97163,0.9371237108004814,0,0
Carlin Hughes,Saint Mary's,WCC,32,59.8,113.2,18.7,52.7,55.77,1.0,8.2,25.6,21.2,35,41,0.854,42,65,0.646,49,154,0.318,0.0,2.3,18.7,2.45299,112.938,2.8,2009,54,999.0,1.98029868,26.055555555555554,32.5,15.944444444444445,32.5,0.8017094017094016,0.49059829059829063,0.0,0.0,101.37,99.8865,2.25704,122.345,3.05856,3.61165,-0.553095,2.55311,24.6562,1.73975,0.813364,0.2188,1.8125,2.0312,3.1562,0.9375,0.0,8.3125,Unknown,0,4.0,74.0,478.72,155.44375,1.3689107534356453,0,0
Shane Laurie,Missouri St.,MVC,12,20.5,91.2,12.4,37.0,37.89,3.2,8.6,12.8,12.0,2,3,0.667,2,13,0.154,12,41,0.293,0.0,1.5,5.6,-0.0778304,83.1936,3.9,2009,63,999.0,2.5,1.2407407407407407,6.5,0.7592592592592593,6.5,0.1908831908831909,0.11680911680911682,0.0,0.0,104.387,101.919,1.76564,37.0412,-1.30092,-0.705981,-0.594942,-2.9469,21.3333,-2.7911,-0.155795,0.5833,1.4167,2.0,1.25,0.5,0.0,3.5,Unknown,0,4.0,74.0,158.72000000000003,19.599999999999998,1.0321748246109186,0,0
Alonzo Gee,Alabama,SEC,30,80.2,103.3,24.7,47.8,50.64,9.9,13.3,8.3,16.3,94,150,0.627,140,307,0.456,27,71,0.38,2.1,1.5,39.7,3.09114,112.019,2.4,2009,67,94.0,0.55073915,96.12636815920399,168.21917808219177,43.873631840796016,138.78082191780823,0.5714352504578087,0.3161361291459983,0.0,0.0,101.128,97.5621,3.19722,179.248,2.57104,2.30823,0.262804,3.04453,32.5,3.35244,-0.307914,2.9333,4.3,7.2333,1.2667,0.8667,0.6667,15.1667,Unknown,0,4.0,78.0,205.01000000000002,602.1179900000001,0.3360187846645885,0,0
Brandon Hollinger,Alabama,SEC,24,20.3,74.6,16.1,32.3,35.6,1.3,4.5,11.3,25.7,8,11,0.727,9,16,0.563,8,49,0.163,0.0,1.6,16.9,-0.457691,71.384,1.9,2009,69,66.2,0.88893334,5.583333333333333,8.0,3.416666666666667,8.0,0.6979166666666666,0.42708333333333337,0.0,0.0,106.722,104.201,0.783923,34.3119,-4.34873,-2.43856,-1.91017,-6.01762,10.2917,-4.44959,-1.56802,0.125,0.4583,0.5833,0.6667,0.2917,0.0,2.0833,Unknown,0,4.0,71.0,181.93000000000004,35.20777,0.7018197627476553,0,0
Tyrese Rice,Boston College,ACC,33,80.3,109.9,27.9,49.1,57.13,2.9,10.0,32.1,24.0,172,201,0.856,101,216,0.468,61,176,0.347,0.6,2.5,51.3,4.70861,125.284,3.4,2009,71,53.0,1.40798336,62.657407407407405,108.0,38.342592592592595,108.0,0.5801611796982167,0.3550240054869685,0.0,0.0,104.218,99.0347,3.12617,186.791,4.58844,5.02528,-0.43684,4.76339,33.3333,4.51752,0.245871,0.8485,3.0,3.8485,5.3333,1.4242,0.2121,16.8788,Unknown,0,4.0,73.0,895.59,865.8824399999999,1.1504963979785672,0,0
Mike Wilson,Chicago St.,ind,30,64.5,96.0,18.4,44.1,46.15,3.7,11.2,19.9,22.9,37,63,0.587,38,93,0.409,42,136,0.309,0.3,2.1,27.5,0.567656,90.6086,2.9,2009,74,999.0,1.53966672,23.574074074074073,46.5,14.425925925925927,46.5,0.5069693349263241,0.3102349661489447,0.0,0.0,107.949,112.98,1.1952,132.547,-4.15783,-0.564501,-3.59333,-4.42031,26.3333,-1.31269,-3.10763,0.9333,2.6,3.5333,3.2333,1.0667,0.0667,7.9667,Unknown,0,4.0,73.0,366.15999999999997,219.08425,1.0814629639693494,0,0
Chris Knight,Bowling Green,MAC,23,30.3,94.9,25.6,44.4,48.33,12.1,19.5,12.4,20.2,30,44,0.682,53,121,0.438,2,5,0.4,2.1,1.8,34.9,0.986374,101.472,4.6,2009,83,999.0,0.64519958,36.390696517412934,66.30136986301369,16.609303482587062,54.6986301369863,0.5488679433411455,0.303651178118922,0.0,0.0,94.1006,97.2246,1.66501,73.8249,-1.64629,-1.91503,0.26874,-1.72021,16.5217,-0.959303,-0.760908,1.6957,2.8261,4.5217,0.8696,0.4783,0.3043,6.1739,Unknown,0,2.0,79.0,317.44000000000005,215.46910999999997,0.48435607984063117,0,0
Jerome Burney,Maryland,ACC,9,4.8,68.6,13.9,26.7,23.67,11.0,16.2,4.9,12.3,0,4,0.0,4,14,0.286,0,1,0.0,9.2,0.0,26.7,-0.501499,64.6074,3.5,2009,88,43.0,1.0,2.8906312596577575,8.250698324022347,1.1093687403422425,5.749301675977653,0.3503498911409148,0.1929571281634995,0.0,0.0,99.5821,93.1377,0.845099,12.7488,-1.40166,-4.71636,3.3147,-2.77837,7.5556,-3.43293,0.654556,0.7778,1.1111,1.8889,0.2222,0.0,0.6667,0.8889,Unknown,0,2.0,81.0,68.11000000000001,23.73363,0.35249262642975326,0,0
Jeremy Wise,Southern Miss,CUSA,29,89.5,104.6,27.7,47.0,55.85,1.1,10.9,28.8,20.1,170,209,0.813,124,239,0.519,22,95,0.232,0.9,2.3,62.6,4.19513,118.025,3.1,2009,99,55.2,1.42552597,76.92592592592592,119.5,47.074074074074076,119.5,0.6437315977064931,0.3939253060591973,0.0,0.0,105.387,102.142,2.99805,178.318,3.16488,3.56007,-0.395196,3.93006,36.2759,3.50939,0.420674,0.3448,3.1379,3.4828,4.6207,1.3103,0.2759,16.6897,Unknown,0,3.0,74.0,797.76,1044.77522,1.0396736579906862,0,0
Josh Akognon,Cal St. Fullerton,BW,31,89.4,107.9,30.6,50.5,54.91,1.8,8.5,10.8,13.9,129,145,0.89,110,249,0.442,130,355,0.366,0.1,1.7,24.0,4.58534,121.203,2.2,2009,102,20.4,0.60974596,68.24074074074073,124.5,41.75925925925926,124.5,0.548118399524022,0.3354157370221627,0.0,0.0,109.875,109.491,2.08261,169.646,-0.955189,3.6778,-4.63299,2.62491,36.0645,5.65578,-3.03087,0.5806,2.6774,3.2581,1.6129,1.0323,0.0323,23.8387,Unknown,0,4.0,71.0,330.48,572.1288,0.35292964282212996,1,0
Kyle Bjornstad,Oregon St.,P10,8,0.8,0.0,6.1,0.0,0.0,0.0,12.1,0.0,100.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,-0.423077,-4.4052,3.6,2009,106,999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111.495,101.087,0.120139,1.27064,-10.6056,-9.08961,-1.51602,-15.4949,1.375,-11.0503,-4.44461,0.0,0.125,0.125,0.0,0.0,0.0,0.0,Unknown,0,4.0,69.0,0.0,0.0,0.0,0,0
